Eye,Face,Lips,Nails,Tongue,Vitamin Deficiency,Recommendation
,,Angular cheilitis,beau's line,,"Vitamin B5 Deficiency, Vitamin E Deficiency, Vitamin A Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
,,Angular cheilitis,beau's line,Magenta Coloured Tongue,"Vitamin B5 Deficiency, Vitamin E Deficiency, Vitamin D Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
,,Angular cheilitis,beau's line,Not Visible / Normal,"Vitamin B2 Deficiency, Vitamin K Deficiency, Vitamin K Deficiency","Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
,,Angular cheilitis,beau's line,Swollen Red,Vitamin A Deficiency,"Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
,,Angular cheilitis,beau's line,White Tongue,"Vitamin K Deficiency, Vitamin B9 Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
,,Angular cheilitis,black line,,"Vitamin B3 Deficiency, Vitamin B1 Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
,,Angular cheilitis,black line,Magenta Coloured Tongue,"Vitamin K Deficiency, Vitamin E Deficiency, Vitamin B3 Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
,,Angular cheilitis,black line,Not Visible / Normal,"Vitamin C Deficiency, Vitamin C Deficiency, Vitamin E Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
,,Angular cheilitis,black line,Swollen Red,Vitamin B5 Deficiency,"Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
,,Angular cheilitis,black line,White Tongue,"Vitamin K Deficiency, Vitamin B2 Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
,,Angular cheilitis,clubbing,,"Vitamin B3 Deficiency, Vitamin A Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
,,Angular cheilitis,clubbing,Magenta Coloured Tongue,"Vitamin B5 Deficiency, Vitamin B12 Deficiency, Vitamin C Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
,,Angular cheilitis,clubbing,Not Visible / Normal,"Vitamin D Deficiency, Vitamin B7 Deficiency, Vitamin E Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
,,Angular cheilitis,clubbing,Swollen Red,"Vitamin B3 Deficiency, Vitamin K Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
,,Angular cheilitis,clubbing,White Tongue,"Vitamin A Deficiency, Vitamin B1 Deficiency, Vitamin K Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
,,Angular cheilitis,muehrck-e's lines,,"Vitamin B5 Deficiency, Vitamin C Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
,,Angular cheilitis,muehrck-e's lines,Magenta Coloured Tongue,Vitamin K Deficiency,"Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
,,Angular cheilitis,muehrck-e's lines,Not Visible / Normal,"Vitamin B7 Deficiency, Vitamin C Deficiency, Vitamin B6 Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
,,Angular cheilitis,muehrck-e's lines,Swollen Red,"Vitamin B5 Deficiency, Vitamin A Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
,,Angular cheilitis,muehrck-e's lines,White Tongue,Vitamin A Deficiency,"Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
,,Angular cheilitis,onycholysis,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,Angular cheilitis,onycholysis,Magenta Coloured Tongue,"Vitamin B9 Deficiency, Vitamin B3 Deficiency, Vitamin E Deficiency","Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
,,Angular cheilitis,onycholysis,Not Visible / Normal,"Vitamin D Deficiency, Vitamin K Deficiency, Vitamin B7 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
,,Angular cheilitis,onycholysis,Swollen Red,"Vitamin B2 Deficiency, Vitamin B3 Deficiency, Vitamin B1 Deficiency","Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
,,Angular cheilitis,onycholysis,White Tongue,"Vitamin D Deficiency, Vitamin D Deficiency, Vitamin B9 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
,,Angular cheilitis,terry's nail,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,Angular cheilitis,terry's nail,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,Angular cheilitis,terry's nail,Not Visible / Normal,"Vitamin D Deficiency, Vitamin B6 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
,,Angular cheilitis,terry's nail,Swollen Red,"Vitamin E Deficiency, Vitamin C Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
,,Angular cheilitis,terry's nail,White Tongue,"Vitamin E Deficiency, Vitamin K Deficiency, Vitamin B2 Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
,,Angular cheilitis,white spot,,"Vitamin E Deficiency, Vitamin B5 Deficiency, Vitamin K Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
,,Angular cheilitis,white spot,Magenta Coloured Tongue,Vitamin B1 Deficiency,"Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
,,Angular cheilitis,white spot,Not Visible / Normal,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,Angular cheilitis,white spot,Swollen Red,"Vitamin B5 Deficiency, Vitamin K Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
,,Angular cheilitis,white spot,White Tongue,"Vitamin A Deficiency, Vitamin C Deficiency, Vitamin B12 Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
,,Cracked,,,"Vitamin K Deficiency, Vitamin B6 Deficiency, Vitamin A Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
,,Cracked,,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,Cracked,,Not Visible / Normal,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,Cracked,,Swollen Red,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,Cracked,,White Tongue,"Vitamin D Deficiency, Vitamin B12 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
,,Cracked,beau's line,,Vitamin B2 Deficiency,"Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
,,Cracked,beau's line,Magenta Coloured Tongue,"Vitamin C Deficiency, Vitamin K Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
,,Cracked,beau's line,Not Visible / Normal,"Vitamin B7 Deficiency, Vitamin B3 Deficiency, Vitamin B3 Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
,,Cracked,beau's line,Swollen Red,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,Cracked,beau's line,White Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,Cracked,black line,,"Vitamin B7 Deficiency, Vitamin K Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
,,Cracked,black line,Magenta Coloured Tongue,Vitamin B6 Deficiency,"Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
,,Cracked,black line,Not Visible / Normal,"Vitamin A Deficiency, Vitamin B5 Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
,,Cracked,black line,Swollen Red,"Vitamin B9 Deficiency, Vitamin B5 Deficiency","Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
,,Cracked,black line,White Tongue,"Vitamin K Deficiency, Vitamin C Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
,,Cracked,clubbing,,Vitamin B12 Deficiency,"Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
,,Cracked,clubbing,Magenta Coloured Tongue,"Vitamin B2 Deficiency, Vitamin C Deficiency","Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
,,Cracked,clubbing,Not Visible / Normal,Vitamin B9 Deficiency,"Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
,,Cracked,clubbing,Swollen Red,"Vitamin B7 Deficiency, Vitamin B1 Deficiency, Vitamin B3 Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
,,Cracked,clubbing,White Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,Cracked,muehrck-e's lines,,"Vitamin K Deficiency, Vitamin D Deficiency, Vitamin B2 Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
,,Cracked,muehrck-e's lines,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,Cracked,muehrck-e's lines,Not Visible / Normal,Vitamin B6 Deficiency,"Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
,,Cracked,muehrck-e's lines,Swollen Red,"Vitamin A Deficiency, Vitamin B6 Deficiency, Vitamin B6 Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
,,Cracked,muehrck-e's lines,White Tongue,Vitamin B1 Deficiency,"Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
,,Cracked,onycholysis,,Vitamin B5 Deficiency,"Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
,,Cracked,onycholysis,Magenta Coloured Tongue,"Vitamin B6 Deficiency, Vitamin B12 Deficiency, Vitamin A Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
,,Cracked,onycholysis,Not Visible / Normal,"Vitamin A Deficiency, Vitamin B1 Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
,,Cracked,onycholysis,Swollen Red,"Vitamin B3 Deficiency, Vitamin K Deficiency, Vitamin B2 Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
,,Cracked,onycholysis,White Tongue,"Vitamin D Deficiency, Vitamin C Deficiency, Vitamin B3 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
,,Cracked,terry's nail,,Vitamin B9 Deficiency,"Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
,,Cracked,terry's nail,Magenta Coloured Tongue,"Vitamin E Deficiency, Vitamin B3 Deficiency, Vitamin B1 Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
,,Cracked,terry's nail,Not Visible / Normal,"Vitamin D Deficiency, Vitamin A Deficiency, Vitamin B2 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
,,Cracked,terry's nail,Swollen Red,"Vitamin D Deficiency, Vitamin B1 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
,,Cracked,terry's nail,White Tongue,"Vitamin C Deficiency, Vitamin E Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
,,Cracked,white spot,,Vitamin B7 Deficiency,"Consume eggs, nuts, seeds, and sweet potatoes to improve Vitamin B7 levels."
,,Cracked,white spot,Magenta Coloured Tongue,"Vitamin B9 Deficiency, Vitamin B7 Deficiency","Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
,,Cracked,white spot,Not Visible / Normal,Vitamin B7 Deficiency,"Consume eggs, nuts, seeds, and sweet potatoes to improve Vitamin B7 levels."
,,Cracked,white spot,Swollen Red,Vitamin B7 Deficiency,"Consume eggs, nuts, seeds, and sweet potatoes to improve Vitamin B7 levels."
,,Cracked,white spot,White Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,Normal,,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,Normal,,Magenta Coloured Tongue,"Vitamin B12 Deficiency, Vitamin B3 Deficiency, Vitamin B9 Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
,,Normal,,Not Visible / Normal,"Vitamin B1 Deficiency, Vitamin B7 Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
,,Normal,,Swollen Red,"Vitamin C Deficiency, Vitamin B3 Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
,,Normal,,White Tongue,"Vitamin K Deficiency, Vitamin C Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
,,Normal,beau's line,,"Vitamin B1 Deficiency, Vitamin B1 Deficiency, Vitamin B12 Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
,,Normal,beau's line,Magenta Coloured Tongue,Vitamin B9 Deficiency,"Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
,,Normal,beau's line,Not Visible / Normal,Vitamin B3 Deficiency,"Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
,,Normal,beau's line,Swollen Red,Vitamin B3 Deficiency,"Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
,,Normal,beau's line,White Tongue,"Vitamin K Deficiency, Vitamin E Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
